names,scores,logfoldchanges,pvals,pvals_adj
ILMN_1721876,-6.2548366,-1.1386216,2.806217839686468e-07,2.523835500799387e-05
ILMN_2136010,-6.262545,-3.6375494,1.7102487707576944e-07,1.7550268676406562e-05
ILMN_2205963,-6.264248,-1.0362267,2.0915046709689344e-07,2.0296795237292402e-05
ILMN_1712305,-6.2988396,-3.7803302,1.0600469880220064e-07,1.2536910715589264e-05
ILMN_1797522,-6.302366,-1.1892815,5.149788617691999e-07,3.924156644619124e-05
ILMN_1714167,-6.32897,-2.4676805,9.312901214269493e-08,1.141361185863852e-05
ILMN_3202024,-6.338409,-1.5357947,2.870467726895519e-07,2.5721997764118715e-05
ILMN_1720235,-6.3486104,-1.3881898,1.3393972803662726e-06,8.000362012915059e-05
ILMN_2399016,-6.350046,-1.4308294,1.3033153596158694e-07,1.4272208267904614e-05
ILMN_1700268,-6.354318,-1.6030197,1.0172063167904039e-07,1.2182526386937629e-05
ILMN_1703074,-6.35853,-1.4649798,3.7687030813649504e-07,3.156162833523191e-05
ILMN_1698585,-6.3698726,-1.2301263,6.873278700984009e-07,4.8170991927029706e-05
ILMN_2352090,-6.385431,-1.2846009,5.290396270529483e-07,3.986878418915753e-05
ILMN_1729905,-6.388199,-1.2467285,1.369559360646918e-07,1.472494197139176e-05
ILMN_1800837,-6.420859,-1.145688,6.806774938978422e-08,9.200231486807206e-06
ILMN_1664024,-6.462774,-5.521604,8.82943451736441e-08,1.0963098653883416e-05
ILMN_1709634,-6.48035,-2.302461,7.104534454221488e-08,9.44084863555775e-06
ILMN_1706056,-6.489061,-1.5681058,4.7120624833045264e-07,3.686512433685387e-05
ILMN_2128750,-6.495027,-1.4677553,2.023111368799732e-07,1.993902698412686e-05
ILMN_1787526,-6.512018,-1.7847079,1.2234181538090922e-07,1.3574446319262748e-05
ILMN_1696699,-6.51987,-1.3852707,1.2863783946753303e-07,1.4119420583968873e-05
ILMN_1734707,-6.5213523,-1.7577803,2.2089043734597655e-07,2.0951945754408714e-05
ILMN_1803593,-6.5424657,-1.8693507,3.1680796638415186e-07,2.7550063356130647e-05
ILMN_1769071,-6.5484176,-2.2312553,3.87133129126956e-07,3.2017669474840746e-05
ILMN_1743078,-6.604316,-5.107661,9.123624318659996e-08,1.1269224429317192e-05
ILMN_1670708,-6.61828,-2.4088426,6.750999734241216e-07,4.754856045834292e-05
ILMN_1792508,-6.6336784,-2.6713681,4.664694021037186e-08,6.8941278369066585e-06
ILMN_1738414,-6.6354685,-1.7686177,1.198067945389248e-07,1.3436102337673375e-05
ILMN_1706013,-6.6418934,-1.3735297,7.789845144131808e-08,9.986834803074348e-06
ILMN_2087692,-6.6636786,-4.9482446,2.9158926000697515e-08,4.96194716660071e-06
ILMN_2390853,-6.6690054,-1.433982,4.262491141172617e-08,6.381192038463703e-06
ILMN_2167808,-6.688408,-4.1927567,2.74139061463027e-08,4.7825773262308096e-06
ILMN_1799887,-6.6898513,-2.9863908,2.7952729759677945e-08,4.802900920227705e-06
ILMN_1670145,-6.6958666,-1.9668936,3.2849133649149015e-07,2.8256369733920636e-05
ILMN_1758938,-6.724049,-1.0443863,3.1388531120408265e-08,5.210165760397031e-06
ILMN_1773395,-6.7454023,-1.0050327,3.413815052658315e-08,5.455991510003612e-06
ILMN_1746618,-6.769639,-1.4158039,5.720505608617867e-08,8.078207726175683e-06
ILMN_2090004,-6.780235,-5.527039,1.5895690529943068e-07,1.658390342621412e-05
ILMN_1772206,-6.7846427,-4.672712,3.732085942633563e-08,5.807690450268617e-06
ILMN_2195957,-6.7960653,-1.3087267,1.9456603999598505e-07,1.947864689171862e-05
ILMN_1694840,-6.81169,-1.8789239,3.2684616260305534e-08,5.295199418672004e-06
ILMN_2345872,-6.817994,-1.1683918,2.0076929524722004e-08,3.801176080610085e-06
ILMN_1735124,-6.8197627,-1.9221817,4.4833118689702807e-07,3.576594175132834e-05
ILMN_2372974,-6.828108,-1.0786304,4.4577249977679805e-08,6.6524162924104055e-06
ILMN_2405009,-6.8455453,-1.108607,8.271097303491776e-08,1.0488636062583131e-05
ILMN_1717793,-6.8618183,-1.906476,1.0820158695136796e-07,1.2576639985032837e-05
ILMN_1673681,-6.8810196,-1.3172992,5.139557970414169e-08,7.345530782670185e-06
ILMN_1794782,-6.8857045,-1.6543323,6.19423947234772e-08,8.64397895924347e-06
ILMN_1800008,-6.906938,-1.9879794,1.3069329140732814e-08,2.9163714795313545e-06
ILMN_1674574,-6.9402504,-1.7578908,1.5343877455820092e-08,3.240503619653934e-06
ILMN_1693941,-6.9435015,-1.7717808,9.832751057536555e-08,1.1896622871582655e-05
ILMN_1796349,-7.0073495,-2.2464733,7.228256018650722e-08,9.52498906613676e-06
ILMN_2364384,-7.0435915,-1.2374183,1.5907531903304316e-08,3.300603560305339e-06
ILMN_1690884,-7.058588,-14.612529,5.742994546850567e-08,8.085828661543445e-06
ILMN_1707124,-7.1094017,-1.3720508,3.178890163062913e-08,5.22165822722282e-06
ILMN_2203768,-7.200942,-1.0318886,1.2745341661966607e-08,2.8711613238221633e-06
ILMN_2337263,-7.2223287,-2.6338234,3.3687357104735423e-07,2.887043120568331e-05
ILMN_1746652,-7.228337,-3.270295,2.279470354830461e-07,2.131393958498249e-05
ILMN_1662619,-7.241751,-1.2456559,1.6601271840809754e-08,3.399811112438039e-06
ILMN_1731433,-7.2529664,-2.2997158,1.9720480969716562e-08,3.801176080610085e-06
ILMN_1679949,-7.2589736,-1.233869,9.423643713831612e-09,2.3587529797366777e-06
ILMN_1693932,-7.2667475,-1.0017515,9.623200492611613e-09,2.3639099299856756e-06
