Gene,importance
SLC25A23,7.354178407812374e-06
ADH1C,7.341758250826662e-06
EIF4A2,7.285878754624424e-06
CNDP2,7.21552659765028e-06
GNB1,7.195398563949293e-06
UQCRQ,7.172486670059451e-06
SLC25A6,7.150549814061256e-06
UQCRHL,7.139597538468235e-06
NQO1,7.136359114107479e-06
AK3,7.133053456119353e-06
ZG16,7.1138130334564725e-06
GBP4,7.103161500924424e-06
LOC644936,7.07702237564935e-06
YWHAH,7.070715393497251e-06
UGT2B17,7.054195785680022e-06
OTC,7.041293224576229e-06
ATP6V0A1,7.011048725891414e-06
NDUFA4,7.002286720592539e-06
SOD1,6.94071243914854e-06
ANP32B,6.905791596517729e-06
RPS18,6.881504316814935e-06
TFF3,6.844849717344139e-06
CDX1,6.79677578079533e-06
SSR4,6.793670986966188e-06
AGR2,6.738150264074663e-06
TM4SF20,6.726862267250266e-06
SMPDL3A,6.687943524094505e-06
RAMP2-AS1,6.6260197808563155e-06
CPD,6.6063524359675855e-06
PSME1,6.568985555255503e-06
BTG1,6.5484715964233114e-06
GSTK1,6.532665644879004e-06
CDKN1A,6.470595046934226e-06
COX7A2,6.461453734693924e-06
CA2,6.425335609222957e-06
RPS10,6.390597086148593e-06
VPS35,6.35099582924589e-06
RPL18A,6.350939245163019e-06
ANPEP,6.337674219765707e-06
HSPA8,6.324439595862141e-06
PDK4,6.25801651881286e-06
ATP5G1,6.2564288667050815e-06
ZNF674,6.214518083001649e-06
ATP5F1,6.20657578777288e-06
DHRS1,6.184620240101164e-06
FH,6.167609819053998e-06
RPL39,6.132194296516963e-06
SAT2,6.125693990804065e-06
MT2A,6.124934860286604e-06
CTSE,6.100064843698481e-06
MTCH1,6.092658381053812e-06
VKORC1,6.084207662540268e-06
PSMA4,6.0738509460929146e-06
COX4I1,6.073817168992892e-06
FAM213A,6.06521644751053e-06
NDUFAB1,6.0616304600359986e-06
RPS3A,6.058005016300747e-06
IRF9,6.032180015129074e-06
RPL3,6.009618148195547e-06
UGT2A3,6.000033156130145e-06
NDUFA9,5.993664150121316e-06
MS4A10,5.9881884052927506e-06
MT1H,5.98604694939262e-06
MPC1,5.982090315539927e-06
PSMA5,5.980895272248885e-06
MST1,5.967948494218467e-06
SHBG,5.943157103524246e-06
IFNGR1,5.9190097599497526e-06
HLA-DRB4,5.918895434571631e-06
VNN1,5.8987523031164565e-06
ABCC3,5.866347909058854e-06
LAPTM4B,5.860636080987386e-06
PRDX5,5.851887726480934e-06
HLA-G,5.844277076826686e-06
PLIN2,5.828294508532882e-06
SLC16A3,5.804144401575403e-06
AKR1B15,5.7876021365390335e-06
ISG20,5.780046215656776e-06
RPS3,5.7684410851123856e-06
WBP2,5.742334035390018e-06
CCND3,5.7359109698892456e-06
F2R,5.70140082825473e-06
PPP1CC,5.666266617343411e-06
CKMT1A,5.663494942822384e-06
ENO1,5.659701667088596e-06
PTTG1IP,5.659055597296568e-06
SOWAHA,5.654739018876719e-06
PDXK,5.639716577209458e-06
ATP5J2,5.631534219230124e-06
SLC11A2,5.6266839582444845e-06
EHD1,5.6204028126692365e-06
ABHD17C,5.619657405969871e-06
DNASE1,5.615441946801097e-06
SNRPG,5.6149604569734545e-06
SUCLG1,5.6119812144501595e-06
ITPR3,5.604596853965782e-06
NT5C3A,5.599408842372328e-06
EIF3K,5.59675411218833e-06
GSTA2,5.593732860231084e-06
GLO1,5.590199965525689e-06
NOL7,5.569029539467282e-06
HIST1H1C,5.564852143184531e-06
IFNGR2,5.550772615123905e-06
ALDOC,5.538952550520866e-06
GALC,5.507143161432047e-06
TCN1,5.500042905457529e-06
PARK7,5.497509759750509e-06
PDCD7,5.491785856832791e-06
JTB,5.468196216992331e-06
ETFDH,5.453774921602639e-06
AURKAIP1,5.448048231987293e-06
GPX4,5.439453275341397e-06
SLC4A7,5.4221264927194e-06
RPL18,5.410703316607084e-06
REG1B,5.4071773235381485e-06
RAB40C,5.3903682267021385e-06
CISD1,5.389804997437346e-06
LAMP1,5.385894308692982e-06
RPS29,5.38531140100085e-06
RNF186,5.348250091861468e-06
CYP3A5,5.342205499629338e-06
RPS4X,5.3383950471464324e-06
TSPAN13,5.330526849446298e-06
PNPO,5.330298221806056e-06
RAC2,5.313095885208534e-06
HLA-DRB1,5.269770162526746e-06
GHITM,5.268888485413136e-06
GSDMB,5.243659188868993e-06
EFNA1,5.186458084189703e-06
EVL,5.178695506629777e-06
TMBIM4,5.158788073349491e-06
MTMR11,5.148712170421516e-06
ECHS1,5.142186631759988e-06
NR1H3,5.123754507795581e-06
HMGCS1,5.0632582300278875e-06
RPS27A,5.04695575581781e-06
GCNT1,5.040392644836189e-06
INPP1,5.035235821094909e-06
LITAF,5.033774286322105e-06
GOT1,5.028836728019928e-06
GLRX5,5.020715858638202e-06
CIRBP,5.0038155258430686e-06
UQCRC2,4.9921197385110635e-06
GUCA2A,4.987789278624615e-06
GALK1,4.981041648168339e-06
DDC,4.9268706637462125e-06
CDHR2,4.925580089282874e-06
SC5D,4.9155670777793905e-06
NDUFA1,4.903787906111825e-06
TM4SF4,4.903466837076684e-06
SULT1A1,4.902952085629738e-06
TMED3,4.867403975451829e-06
FAM120A,4.813457542517945e-06
NDUFS4,4.806116449523504e-06
SDHB,4.770780596817041e-06
CGN,4.7681398737743535e-06
DHDH,4.763371677309712e-06
MME,4.763153780763502e-06
PNCK,4.733160372634874e-06
MANF,4.722173191184978e-06
HLA-DRB3,4.716658355036111e-06
RPL13AP5,4.70140343558747e-06
CHGA,4.700486146123722e-06
GSTM2,4.691186869780505e-06
FAM3C,4.687377596868932e-06
TMED2,4.683882301091463e-06
NCOA4,4.6784792198797795e-06
SDF2L1,4.672139388867946e-06
FLNB,4.659970781742651e-06
MYH9,4.654724736241497e-06
PCCB,4.641576979298297e-06
CDH1,4.635107803835327e-06
HTATIP2,4.6327989502979825e-06
PTPRF,4.631350480837094e-06
RPN1,4.618118881882526e-06
ROMO1,4.612597968527858e-06
ARPC1A,4.58784612405616e-06
PSMB3,4.573127436172278e-06
CMBL,4.571881173515327e-06
NDFIP2,4.565634861573901e-06
TMEM258,4.559672451867016e-06
PRR15L,4.556004515510754e-06
PSAP,4.540408211952829e-06
COL17A1,4.521660609445204e-06
PSMB6,4.518796853485194e-06
COX5A,4.5184847112905765e-06
COX5B,4.512495772851985e-06
ACAT1,4.500582317265724e-06
YBX1,4.500272602626238e-06
MSH3,4.4961515587864625e-06
PSMB9,4.48849941667872e-06
PLOD2,4.486347051217586e-06
PON2,4.480106340046736e-06
RRM1,4.470626643588627e-06
ARPC5,4.464088511656621e-06
VIP,4.444493205507862e-06
C2orf88,4.433451386014179e-06
RPS26P11,4.432915232108289e-06
TNFRSF21,4.424798211729061e-06
SLC37A4,4.4094446743965424e-06
COX7B,4.400190118280086e-06
HLA-DRB5,4.3884899348884475e-06
MS4A8,4.366477708992336e-06
TFF1,4.3491669949094035e-06
TM4SF1,4.34313359574636e-06
LMBRD1,4.342492230124907e-06
TGOLN2,4.338641559620137e-06
PLAC8,4.3361208230202895e-06
FDFT1,4.3165204734979615e-06
HLA-DQB1,4.310987879802687e-06
GSTA5,4.31064356340632e-06
ITPKA,4.303304120401615e-06
PDLIM1,4.300651828955836e-06
RPS12,4.292419634753277e-06
UBB,4.2816578840790495e-06
LCP1,4.277234241008826e-06
ECHDC2,4.254858902987442e-06
ANXA13,4.251931456279776e-06
PTGR1,4.251512279129714e-06
UBE2J1,4.246503256575326e-06
VWF,4.231341199178896e-06
SPCS1,4.227498655606264e-06
ALPI,4.223427477936292e-06
EIF1AY,4.222183619732137e-06
HSPA9,4.2043212397042674e-06
CDR2L,4.200771444814888e-06
AKR1D1,4.199946126442618e-06
DUSP3,4.199444653278947e-06
ATP5H,4.198935615620314e-06
MAPKAPK3,4.189334065424081e-06
DUSP5,4.188416255494426e-06
PLEKHS1,4.183215751406869e-06
UBD,4.1775395094974365e-06
NDUFS5,4.143363021627423e-06
NBL1,4.142139637562943e-06
GP2,4.120040012815649e-06
HSPD1,4.119130357674498e-06
STOM,4.116882747902384e-06
FHL2,4.114101788439143e-06
HPCAL1,4.107643363210988e-06
CLDN23,4.103778605346143e-06
TPRG1L,4.102252370528623e-06
SLC44A4,4.093712417262829e-06
PCBP1,4.088179717686226e-06
ACTR2,4.088002024309527e-06
SNX4,4.087938471396759e-06
TMEM141,4.077076424766089e-06
TUBA1A,4.076082568566231e-06
SLC25A39,4.059455493051205e-06
CRYL1,4.058432862757873e-06
AP3B1,4.048570476165052e-06
CAPN5,4.03064302013907e-06
IQGAP2,4.028727714958109e-06
KDELR2,4.020381598919302e-06
PP7080,4.013463216182832e-06
SLC7A5P2,4.0118158483929e-06
HMGN4,4.011399999928322e-06
RPL6,3.995683406377413e-06
MALL,3.98693681101477e-06
HEXB,3.97465505739749e-06
VMP1,3.964073481320613e-06
COX6A1,3.962005656234334e-06
BRI3,3.958840425467708e-06
ORC6,3.956447052656674e-06
ATP5J,3.9535016032338534e-06
RPL41,3.947257978457422e-06
ZMIZ1,3.9401600571848305e-06
FABP1,3.929425342940329e-06
VDAC1,3.92543446600711e-06
XDH,3.915313758837279e-06
CDC20,3.914314938420401e-06
H3F3A,3.912471944366899e-06
GCNT3,3.910463698430684e-06
H1F0,3.889749368035121e-06
CFD,3.8785098997448035e-06
RHPN2,3.852258330533751e-06
HDAC1,3.852151780441779e-06
IFI6,3.843176099377768e-06
RPS13,3.842189337335765e-06
MARCH7,3.840409635469882e-06
SRSF2,3.838646598403576e-06
ALDH9A1,3.834459802196404e-06
FAM177A1,3.8251692702336065e-06
IGLL1,3.8250750585963815e-06
ATP6V1F,3.806315520826693e-06
SRSF6,3.7934598078458994e-06
TSPAN3,3.786952070689573e-06
TM9SF3,3.7665973254505788e-06
SLC35B1,3.7661035678216056e-06
NDUFS7,3.7629764909926174e-06
RAPGEFL1,3.741220540116467e-06
HSPA1A,3.739109572338011e-06
HACL1,3.7177746462957262e-06
TNFRSF14,3.713755192418604e-06
ATP1B1,3.6851262698322027e-06
ARID3A,3.6802743757676724e-06
ADAP1,3.668636273443849e-06
TYMP,3.6590655650679597e-06
LHPP,3.6506263607443985e-06
HMOX1,3.650427369209311e-06
CDC42EP5,3.649333893363825e-06
MT1X,3.649088943055417e-06
ARHGEF18,3.635334816391689e-06
RPS27L,3.635100554846245e-06
RPL23,3.6180050422360975e-06
CYP3A4,3.617567412014435e-06
