names,scores,logfoldchanges,pvals,pvals_adj
ILMN_1758939,8.968421,2.228498,1.2916444565805794e-09,6.053787808957909e-07
ILMN_1668822,8.939803,,3.16531241607305e-10,2.1701657169154753e-07
ILMN_1745374,8.933026,1.3049464,1.740394119015785e-11,2.8390629168372326e-08
ILMN_2235137,8.918268,1.4078394,2.0469344129374958e-10,1.5618439721424857e-07
ILMN_2338323,8.891246,2.2718282,7.343003112019006e-11,7.89489655046098e-08
ILMN_1778401,8.857391,8.908323,1.8604014014911436e-11,2.9336669700113845e-08
ILMN_1709611,8.850704,1.0511783,3.565090422877203e-11,4.558208990136536e-08
ILMN_1726591,8.829019,1.3953183,1.0254108552686216e-10,1.0106064860456809e-07
ILMN_1669502,8.815529,1.1602516,3.5623898082654204e-11,4.558208990136536e-08
ILMN_1749591,8.74674,2.604553,8.666657061235628e-10,4.6590175635894755e-07
ILMN_1807277,8.7430725,1.0341794,7.107133378361828e-11,7.819003691399139e-08
ILMN_2048700,8.68634,1.1770641,3.079850895433912e-11,4.1628144660083445e-08
ILMN_1810228,8.647467,0.87243754,4.3851723900020213e-11,5.2693416877290706e-08
ILMN_1740265,8.6347475,1.8855264,1.9895248613949232e-10,1.5429254527542563e-07
ILMN_2397880,8.622678,0.7211394,3.912119429021596e-11,4.870279837598017e-08
ILMN_1782551,8.617511,2.8890445,2.78692264325208e-09,9.912853344686177e-07
ILMN_2053527,8.616571,1.3391604,4.4554435392048286e-11,5.2693416877290706e-08
ILMN_1683026,8.592302,3.6164742,3.3816849161605007e-10,2.2532023708282367e-07
ILMN_2325837,8.584378,2.3249586,5.611059839970418e-10,3.318030098118507e-07
ILMN_2326512,8.564196,2.3175461,1.216318935390639e-10,1.1002040539834555e-07
ILMN_1774077,8.549486,2.5721066,1.6223018458874202e-10,1.395386062243567e-07
ILMN_1814122,8.542965,1.1469637,8.266003594213915e-11,8.500865913727775e-08
ILMN_1698803,8.542549,,4.9074844363241906e-11,5.6623991763216706e-08
ILMN_2207291,8.529088,,5.8102925371495045e-09,1.616824533846806e-06
ILMN_1683441,8.521832,0.96960914,1.7461639577904646e-10,1.449224181599886e-07
ILMN_1745471,8.490598,1.7396706,1.7985723565890775e-10,1.4669838357441293e-07
ILMN_1710740,8.458941,2.5310204,4.3100130230041875e-09,1.323985623891293e-06
ILMN_2261416,8.447542,2.2594213,1.4797035558953696e-09,6.485718700693138e-07
ILMN_1674640,8.441306,4.1555877,4.204663769956721e-09,1.3000655487930888e-06
ILMN_1844464,8.413825,2.1865268,2.593378204628416e-09,9.294313842905794e-07
ILMN_1655642,8.410625,3.1057305,2.6712478818933735e-10,1.8861003514735794e-07
ILMN_1770673,8.369434,1.5152973,5.204487150645222e-10,3.156521456866327e-07
ILMN_2326509,8.368389,2.4688501,2.9570653531458286e-10,2.0572042744304369e-07
ILMN_1681503,8.362384,1.6733099,2.620140264410794e-10,1.8853527011731728e-07
ILMN_1732516,8.361445,1.2201637,3.367970585639293e-10,2.2532023708282367e-07
ILMN_1779257,8.324391,2.3662784,1.6882601878087707e-10,1.4261879411548128e-07
ILMN_1776181,8.316572,3.1395562,1.8334783506501183e-09,7.549982640966374e-07
ILMN_2353732,8.297297,2.418712,1.4806637911405477e-09,6.485718700693138e-07
ILMN_1678054,8.288701,0.721318,1.2328207338481004e-10,1.1002040539834555e-07
ILMN_3247821,8.288371,1.57098,1.1313641233702451e-10,1.092274338454616e-07
ILMN_1728132,8.24244,1.6511403,1.5237869061508385e-09,6.568060685117276e-07
ILMN_1709795,8.231108,2.2326703,2.552201003758982e-09,9.216562815635585e-07
ILMN_1724489,8.20316,0.87976205,2.2264071588882007e-10,1.6718197375480017e-07
ILMN_1791759,8.189567,4.185426,1.0277452562538797e-08,2.4759821103673868e-06
ILMN_2098126,8.188074,3.779089,9.9369090288417e-10,5.109623428558851e-07
ILMN_2383058,8.183791,,3.4862794628811567e-09,1.1453154343786033e-06
ILMN_2066858,8.177439,1.7388892,3.1663851371104043e-09,1.0866672402136438e-06
ILMN_1726720,8.176893,1.5212976,6.872119716043311e-10,3.7802252024053595e-07
ILMN_1673721,8.119131,1.7864096,6.712670827536685e-10,3.735956692215034e-07
ILMN_1758250,8.118174,1.0960959,4.680143551846087e-09,1.4012882975138153e-06
ILMN_1665943,8.089478,1.8727467,3.1617080256976475e-09,1.0866672402136438e-06
ILMN_2212909,8.077382,1.6064897,1.0663690603187396e-09,5.366672461329639e-07
ILMN_1670238,8.0743475,1.8332175,8.846435620889169e-10,4.702228426038246e-07
ILMN_1790472,8.0347395,0.90901333,2.6303354319113327e-10,1.8853527011731728e-07
ILMN_1786612,8.008176,3.4024594,4.932038667026981e-10,3.0699993844874394e-07
ILMN_1798233,8.005085,1.5376222,2.0705554347739112e-09,8.218011682928522e-07
ILMN_1768482,7.9968314,2.405564,5.111347299390358e-09,1.4834509613022067e-06
ILMN_2109708,7.9622393,4.220651,5.199128957609247e-10,3.156521456866327e-07
ILMN_1771801,7.9523973,2.4858024,1.1579511732392254e-09,5.70616626587792e-07
ILMN_3306440,7.9347615,1.2866757,3.699001253123225e-10,2.364711517317573e-07
ILMN_1708041,7.910911,1.5381526,3.2743696839673567e-09,1.0866672402136438e-06
ILMN_1658027,7.9053535,1.379458,5.726854005339842e-10,3.342731247926857e-07
ILMN_1690241,7.896591,2.456338,2.3861734980443462e-08,4.3085003691596906e-06
ILMN_2130441,7.8785605,7.3971868,5.86481268264589e-10,3.342731247926857e-07
ILMN_1713496,7.8740315,1.0602125,5.827431250785353e-10,3.342731247926857e-07
ILMN_1760201,7.8739333,1.5106101,1.0655792562818318e-09,5.366672461329639e-07
ILMN_1898723,7.8709245,1.9204549,1.1209039578908822e-08,2.6513301767971983e-06
ILMN_1699931,7.8396735,1.5860411,2.4683187972460015e-09,8.982212103178199e-07
ILMN_1774733,7.833489,1.0150523,2.3021661669799154e-09,8.7923691081086e-07
ILMN_2221564,7.8246913,0.90238386,2.9471164620385684e-09,1.0404420781317803e-06
ILMN_2096116,7.8217664,3.2178564,9.232508930726504e-10,4.852914444287541e-07
ILMN_1689327,7.818372,1.6381439,1.527229956164839e-09,6.568060685117276e-07
ILMN_1803652,7.8079276,1.290429,1.2248818594795154e-09,5.973761456329632e-07
ILMN_1740633,7.8076777,2.0917237,9.53440926870874e-09,2.3639099299856756e-06
ILMN_2365111,7.794421,,6.1877508492579434e-09,1.692045834831477e-06
ILMN_1784364,7.7864265,0.9595759,8.03853752230674e-10,4.371024075491551e-07
ILMN_1886655,7.756687,2.243402,2.008780984109162e-08,3.801176080610085e-06
ILMN_1746565,7.7508163,2.4879034,1.3638848544543903e-08,3.0150140565268148e-06
ILMN_1786065,7.7453785,1.5498013,2.0162841422043294e-09,8.083419823327137e-07
ILMN_1798827,7.7229505,0.68563414,1.7894907806100291e-09,7.491631890116694e-07
ILMN_2125747,7.703291,1.6976832,7.992125574697774e-09,2.0548015465338456e-06
ILMN_1703906,7.69492,1.5685929,2.0845993234646513e-09,8.218011682928522e-07
ILMN_2334296,7.670806,2.184159,2.507830107614906e-08,4.464076231448232e-06
ILMN_1682993,7.6618123,1.8262445,8.85340750725712e-09,2.239722721635361e-06
ILMN_1764082,7.6545777,0.84226596,1.3657624237107127e-09,6.212511824854105e-07
ILMN_1777565,7.6503973,1.4648178,1.2525601954810698e-09,6.046414813022752e-07
ILMN_1772218,7.6442327,3.9003596,2.1477854621521177e-09,8.328302201477888e-07
ILMN_1727098,7.621102,1.5264385,8.119565847949089e-09,2.066559337986695e-06
ILMN_2167922,7.611131,1.324394,5.344365986873998e-09,1.5270152345229297e-06
ILMN_1751444,7.596167,1.6936611,5.825065441539637e-09,1.616824533846806e-06
ILMN_2058141,7.586767,1.4294038,5.244129600366338e-09,1.5127075549056728e-06
ILMN_1805828,7.566205,1.3775572,1.9178689044460356e-09,7.813549524840121e-07
ILMN_1708348,7.558621,3.648107,2.304635190152549e-09,8.7923691081086e-07
ILMN_2412549,7.545439,0.62746835,3.888765295981878e-09,1.2346699319262732e-06
ILMN_1799134,7.5394735,2.5041854,1.0053479986250605e-08,2.438974244664397e-06
ILMN_2148796,7.5389466,1.2158083,1.425935927023857e-09,6.424452466639773e-07
ILMN_1799516,7.5275393,0.72036356,1.9324524793504008e-09,7.813549524840121e-07
ILMN_1808537,7.496411,1.1430036,2.9847143072095766e-09,1.0459102202308402e-06
ILMN_1653042,7.4654183,1.2724341,3.7024179270106758e-09,1.1914985365516602e-06
ILMN_1660732,7.462087,2.1654806,1.9925099424807415e-08,3.801176080610085e-06
ILMN_1762861,7.455392,1.5743963,3.871510826710054e-09,1.2346699319262732e-06
ILMN_1679267,7.444727,1.741076,6.560617528479336e-09,1.7534640306201804e-06
ILMN_1731184,7.4417615,1.4746445,7.253519549592363e-09,1.906345829625366e-06
ILMN_1753063,7.4292674,1.2162386,4.844858268087146e-09,1.4324731880524915e-06
ILMN_1758418,7.4255404,1.9695348,3.7083522914260956e-08,5.789802701336446e-06
ILMN_2202948,7.421634,1.876683,5.358287968605203e-09,1.5270152345229297e-06
ILMN_1789123,7.4149623,1.310245,3.2847869311212098e-09,1.0866672402136438e-06
ILMN_1749829,7.411669,1.8799778,1.806835159322313e-08,3.606580205994121e-06
ILMN_2409298,7.4088225,1.5012406,1.5634662010353554e-08,3.26935722363121e-06
ILMN_1815890,7.4028025,1.8800074,1.2620932170333453e-08,2.8567389386696872e-06
ILMN_1671933,7.401524,0.98415107,3.2590745804672083e-09,1.0866672402136438e-06
ILMN_1661266,7.3991814,2.465774,1.9878127838544597e-08,3.801176080610085e-06
ILMN_2373831,7.383061,1.2766231,2.439165964676998e-09,8.982212103178199e-07
ILMN_1686097,7.3585405,1.5690355,3.25784349795815e-09,1.0866672402136438e-06
ILMN_1806040,7.352817,1.3696926,1.509061481644221e-08,3.2157284464929347e-06
ILMN_1700671,7.348231,1.1446065,3.1872934508872707e-09,1.0866672402136438e-06
ILMN_2082209,7.3339205,1.8193377,4.70287977997996e-08,6.909289868059377e-06
ILMN_1665682,7.3178325,2.2737184,3.2145337594583967e-09,1.0866672402136438e-06
ILMN_1744212,7.31775,1.5796872,4.062273362289174e-09,1.272675271190821e-06
ILMN_3298423,7.31736,1.8262558,3.5238083004557796e-08,5.6036939993478995e-06
ILMN_1693826,7.3102164,1.6399387,1.5452016466247436e-08,3.2488379687500775e-06
ILMN_1716279,7.3063827,1.5587927,1.9563392556223187e-08,3.801176080610085e-06
ILMN_1666305,7.3002553,1.5864522,1.4705834231863986e-08,3.176661643866619e-06
